Date,Close_itx,Close_bbva,Close_acs,Close_san,Close_ibex
2010-09-13,11.554,9.799588,34.57793,9.259767,10765.200195
2010-09-14,11.604,9.818803,34.607586,9.315464,10806.599609
2010-09-15,11.484,9.756355,34.399998,9.22542,10751.799805
2010-09-16,11.406,9.732336,35.413219,9.162295,10716.799805
2010-09-17,11.522,9.612243,35.670231,8.976636,10588.599609
2010-09-20,11.73,9.789981,35.877808,9.103813,10743.099609
2010-09-21,11.624,9.833214,36.441265,9.042545,10762.5
2010-09-22,11.4,9.703514,35.769081,8.784478,10555.200195
2010-09-23,11.424,9.674692,35.823448,8.615528,10501.5
2010-09-24,11.964,9.910074,36.317699,8.855957,10727.599609
2010-09-27,11.652,9.73714,36.238621,8.700003,10613.0
2010-09-28,11.688,9.626654,36.238621,8.661015,10590.700195
2010-09-29,11.672,9.444113,36.149654,8.590464,10486.799805
2010-09-30,11.654,9.516169,36.204021,8.648947,10514.5
2010-10-01,11.444,9.369175,36.04092,8.447506,10450.099609
2010-10-04,11.442,9.270218,35.694942,8.457718,10383.0
2010-10-05,11.69,9.583421,35.892643,8.786335,10651.200195
2010-10-06,11.65,9.587264,36.362183,8.808614,10700.200195
2010-10-07,11.796,9.540187,36.332527,8.829965,10740.299805
2010-10-08,11.686,9.510404,36.718044,8.731565,10720.799805
2010-10-11,11.502,9.351882,36.802067,8.698147,10700.799805
2010-10-12,11.56,9.319216,36.713104,8.628524,10648.200195
2010-10-13,11.652,9.540187,36.970116,8.898659,10866.099609
2010-10-14,11.644,9.379743,37.385288,8.842033,10849.700195
2010-10-15,11.726,9.49215,37.454483,8.800259,10868.200195
2010-10-18,11.582,9.53058,37.27161,8.856885,10897.700195
2010-10-19,11.66,9.591107,37.321033,8.929293,10895.299805
2010-10-20,11.624,9.597832,37.365517,8.923723,10896.900391
2010-10-21,11.962,9.415291,37.805401,8.883806,10892.299805
2010-10-22,11.908,9.393194,37.933907,8.939504,10924.799805
2010-10-25,12.06,9.283669,37.405056,8.773339,10870.299805
2010-10-26,11.962,9.255807,37.489079,8.661015,10797.799805
2010-10-27,11.844,9.023307,37.444595,8.52177,10700.099609
2010-10-28,11.87,8.973348,37.395172,8.491136,10753.5
2010-10-29,12.002,9.07903,37.27655,8.569113,10812.900391
2010-11-01,11.788,8.752377,36.624138,8.310118,10649.5
2010-11-02,11.746,8.851334,36.668621,8.361175,10762.099609
2010-11-03,11.692,8.545817,36.070576,8.066904,10569.5
2010-11-04,11.682,8.483369,36.169426,8.10218,10602.799805
2010-11-05,11.438,8.375,35.620804,7.890528,10428.099609
2010-11-08,11.4,8.25,36.060688,7.881245,10291.799805
2010-11-09,11.4,8.373,36.574711,8.029772,10409.799805
2010-11-10,11.174,8.146,36.999771,7.793985,10235.400391
2010-11-11,11.33,8.085,35.902527,7.760566,10149.5
2010-11-12,11.352,8.317,36.08046,7.914664,10226.799805
2010-11-15,11.586,8.424,36.663677,8.053908,10349.700195
2010-11-16,11.47,8.185,35.51207,7.80234,10095.400391
2010-11-17,11.642,8.22,35.650459,7.961078,10189.299805
2010-11-18,11.904,8.34,35.882759,8.064119,10325.299805
2010-11-19,12.0,8.26,36.050804,7.918377,10271.700195
2010-11-22,11.86,7.94,35.190804,7.599042,9996.400391
2010-11-23,11.734,7.63,34.548275,7.239791,9691.799805
2010-11-24,12.056,7.699,34.765747,7.259286,9742.599609
2010-11-25,11.98,7.74,34.568047,7.259286,9721.799805
2010-11-26,11.648,7.555,34.138046,6.991936,9547.200195
2010-11-29,11.482,7.229,33.495506,6.805348,9324.700195
2010-11-30,11.612,7.077,33.436207,6.776571,9267.200195
2010-12-01,12.074,7.593,34.152874,7.26207,9678.400391
2010-12-02,12.404,7.908,34.409885,7.635246,9947.599609
2010-12-03,12.73,8.008,34.755863,7.742,10014.799805
2010-12-06,12.524,7.775,35.432987,7.569337,9889.900391
2010-12-07,12.574,7.76,35.334137,7.519209,9924.700195
2010-12-08,12.686,7.99,35.536781,7.69837,10078.400391
2010-12-09,12.482,8.154,35.442871,7.884958,10185.5
2010-12-10,12.582,8.046,35.487354,7.704868,10121.900391
2010-12-13,12.578,8.012,35.586205,7.720649,10151.200195
2010-12-14,12.492,7.99,35.418159,7.767993,10162.700195
2010-12-15,11.8,7.832,35.032642,7.562839,10009.799805
2010-12-16,11.766,7.8,35.091953,7.556341,10010.299805
2010-12-17,11.634,7.59,34.71632,7.403172,9898.099609
2010-12-20,11.32,7.711,35.091953,7.472794,9996.099609
2010-12-21,11.752,7.948,35.388504,7.687231,10203.400391
2010-12-22,11.8,7.905,35.190804,7.582333,10183.5
2010-12-23,11.602,7.81,35.289654,7.546129,10106.900391
2010-12-27,11.33,7.63,34.597702,7.324266,9899.0
2010-12-28,11.38,7.61,34.676781,7.352115,9903.5
2010-12-29,11.422,7.664,35.190804,7.428236,9981.5
2010-12-30,11.206,7.56,34.671841,7.359542,9859.099609
2011-01-03,11.144,7.6,34.795403,7.397602,9888.299805
2011-01-04,11.26,7.6,34.019424,7.414311,9888.400391
2011-01-05,11.22,7.503,33.01609,7.36604,9801.400391
2011-01-06,11.15,7.341,33.01609,7.212871,9702.700195
2011-01-07,11.202,7.156,32.309311,7.05506,9560.700195
2011-01-10,11.32,6.92,32.264828,6.865687,9437.799805
2011-01-11,11.582,7.07,32.872757,6.981725,9582.099609
2011-01-12,11.764,7.769,34.058964,7.649171,10101.200195
2011-01-13,11.744,8.26,34.063908,8.015848,10370.799805
2011-01-14,11.742,8.334,34.409885,8.001924,10385.099609
2011-01-17,11.544,8.202,33.984825,7.916684,10280.0
2011-01-18,11.754,8.643,35.14138,8.234332,10583.400391
2011-01-19,11.76,8.658,35.521954,8.181548,10556.5
2011-01-20,11.7,8.775,36.070576,8.238102,10636.900391
2011-01-21,11.558,9.07,36.011265,8.549152,10829.099609
2011-01-24,11.382,9.08,36.016205,8.520874,10815.400391
2011-01-25,11.34,8.815,36.208965,8.254126,10664.400391
2011-01-26,11.45,8.807,36.456093,8.176835,10670.700195
