Date,Close_bbva,Close_bankinter,Close_sabadell,Close_santander,Close_ibex
2011-03-04,8.499,1.400206,1.825657,7.861072,10498.700195
2011-03-07,8.384,1.383541,1.82143,7.766815,10495.700195
2011-03-08,8.479,1.40391,1.833508,7.83468,10568.700195
2011-03-09,8.556,1.436625,1.857061,7.803575,10559.5
2011-03-10,8.408,1.413789,1.854646,7.697064,10435.599609
2011-03-11,8.52,1.422121,1.864308,7.629199,10398.400391
2011-03-14,8.812,1.506065,1.901148,7.80546,10415.900391
2011-03-15,8.89,1.51193,1.905979,7.823369,10329.700195
2011-03-16,8.536,1.454832,1.867328,7.569817,10092.599609
2011-03-17,8.665,1.48508,1.88303,7.815829,10325.599609
2011-03-18,8.58,1.493718,1.878803,7.818656,10328.400391
2011-03-21,8.85,1.516559,1.904771,8.043932,10574.400391
2011-03-22,8.94,1.527669,1.905979,8.011884,10576.099609
2011-03-23,8.95,1.526433,1.899336,8.000573,10638.0
2011-03-24,9.059,1.548038,1.918662,8.109912,10755.599609
2011-03-25,8.947,1.545261,1.927116,8.034506,10710.400391
2011-03-28,8.985,1.566245,1.933156,8.061841,10751.0
2011-03-29,8.85,1.547728,1.914434,7.960043,10735.0
2011-03-30,8.82,1.551742,1.905375,7.911029,10732.299805
2011-03-31,8.561,1.493718,1.864308,7.721571,10576.5
2011-04-01,8.624,1.540011,1.872763,7.927052,10729.900391
2011-04-04,8.62,1.543099,1.870348,7.871441,10756.099609
2011-04-05,8.526,1.524582,1.857061,7.759274,10678.599609
2011-04-06,8.797,1.556371,1.892693,7.932708,10845.099609
2011-04-07,8.821,1.623339,1.89692,8.068439,10849.099609
2011-04-08,8.79,1.618094,1.905979,8.163639,10913.200195
2011-04-11,8.798,1.620256,1.905375,8.124993,10878.299805
2011-04-12,8.713,1.660373,1.90296,8.039219,10784.5
2011-04-13,8.666,1.643402,1.905375,8.011884,10786.0
2011-04-14,8.439,1.596183,1.878803,7.828082,10622.700195
2011-04-15,8.311,1.570875,1.850418,7.789437,10558.599609
2011-04-18,8.07,1.528595,1.825657,7.586783,10344.900391
2011-04-19,8.127,1.51162,1.781571,7.632969,10376.5
2011-04-20,8.276,1.518411,1.768889,7.711203,10535.400391
2011-04-21,8.386,1.543409,1.776136,7.766815,10584.099609
2011-04-26,8.414,1.540321,1.775532,7.86767,10650.599609
2011-04-27,8.528,1.552047,1.783987,7.98832,10740.900391
2011-04-28,8.656,1.559454,1.805728,8.107084,10867.799805
2011-04-29,8.66,1.555445,1.80754,8.126878,10878.900391
2011-05-02,8.714,1.570259,1.819618,7.891235,10877.299805
2011-05-03,8.662,1.575814,1.82143,7.904431,10825.599609
2011-05-04,8.555,1.606057,1.832301,7.806403,10712.599609
